,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,citrus,-48.5396188,-22.9088183,2020-01-01,2020-01-21,0.7068,0.546,2.6753497557206596,38.92632709849965,34.13985165682706,29.10993300320422
1,citrus,-48.5396188,-22.9088183,2020-01-21,2020-02-10,0.7597,0.5558,2.952233964746649,35.32087152654474,27.73800069635565,30.160700456355016
2,citrus,-48.5396188,-22.9088183,2020-02-10,2020-03-01,0.7388,0.5248,2.986580675298518,75.614897294478,65.54484003240412,27.9259350422372
3,citrus,-48.5396188,-22.9088183,2020-03-01,2020-03-21,0.727,0.4998,2.9129557392813945,,58.826739571311265,28.939061321434224
4,citrus,-48.5396188,-22.9088183,2020-03-21,2020-04-10,0.7246,0.4673,2.7556227120486176,,35.62171866677025,26.995517424608636
5,citrus,-48.5396188,-22.9088183,2020-04-10,2020-04-30,0.6943,0.4138,2.4722071344202217,,22.922132145274773,25.717151481215865
6,citrus,-48.5396188,-22.9088183,2020-04-30,2020-05-20,0.6436,0.3761,2.178947101939808,12.841509819030762,15.900541825727984,25.098728437306875
7,citrus,-48.5396188,-22.9088183,2020-05-20,2020-06-09,0.5993,0.3548,1.8877151012420657,16.804623170332476,15.393154924566097,22.543946667372893
8,citrus,-48.5396188,-22.9088183,2020-06-09,2020-06-29,0.6334,0.3571,1.616733420978893,22.342664025046613,16.422026200727984,24.022824780812016
9,citrus,-48.5396188,-22.9088183,2020-06-29,2020-07-19,0.6404,0.3665,1.4303567626259546,49.839590592817835,43.46744467995384,21.86313700572657
10,citrus,-48.5396188,-22.9088183,2020-07-19,2020-08-08,0.616,0.3526,1.2827761389992456,28.781496568159625,31.92679873379794,24.430570053441386
11,citrus,-48.5396188,-22.9088183,2020-08-08,2020-08-28,0.5819,0.3177,1.2373145276849922,48.69764709472656,36.934591466730296,24.305764960999454
12,citrus,-48.5396188,-22.9088183,2020-08-28,2020-09-17,0.5886,0.3414,1.242728493430398,37.567718505859375,43.07075569846414,29.615345179143674
