,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,abacate,-48.6329692,-22.7999905,2020-01-01,2020-01-21,0.7039,0.5035,2.301680326461792,,27.61996078491211,33.95353335275274
1,abacate,-48.6329692,-22.7999905,2020-01-21,2020-02-10,0.7229,0.4993,2.4689526557922363,,26.01297950744629,32.661471502087636
2,abacate,-48.6329692,-22.7999905,2020-02-10,2020-03-01,0.7056,0.4961,2.4995267391204834,,53.97352600097656,29.16316389940772
3,abacate,-48.6329692,-22.7999905,2020-03-01,2020-03-21,0.6976,0.483,2.437721014022827,,48.58358383178711,31.174977662399726
4,abacate,-48.6329692,-22.7999905,2020-03-21,2020-04-10,0.6516,0.414,2.3115956783294678,,25.462392807006836,29.680339145270693
5,abacate,-48.6329692,-22.7999905,2020-04-10,2020-04-30,0.5967,0.3655,2.108351707458496,,18.305654525756836,29.285131685675253
6,abacate,-48.6329692,-22.7999905,2020-04-30,2020-05-20,0.5759,0.3344,1.8407163619995117,,15.874404907226562,26.819133330986006
7,abacate,-48.6329692,-22.7999905,2020-05-20,2020-06-09,0.5583,0.326,1.57874596118927,,16.493154525756836,23.33062537404345
8,abacate,-48.6329692,-22.7999905,2020-06-09,2020-06-29,0.5585,0.309,1.3679407835006714,,16.97440528869629,25.624225751430913
9,abacate,-48.6329692,-22.7999905,2020-06-29,2020-07-19,0.5506,0.3037,1.2022175788879395,,33.728946685791016,23.22412827972107
10,abacate,-48.6329692,-22.7999905,2020-07-19,2020-08-08,0.5261,0.2956,1.0614041090011597,,30.555654525756836,27.085524836791706
11,abacate,-48.6329692,-22.7999905,2020-08-08,2020-08-28,0.4884,0.2637,0.978582501411438,,35.653263092041016,26.89616994715169
12,abacate,-48.6329692,-22.7999905,2020-08-28,2020-09-17,0.4993,0.283,0.9441571235656738,,38.267616271972656,33.07966061810686
13,abacate,-48.6329692,-22.7999905,2020-09-17,2020-10-07,0.4818,0.2888,0.9846510291099548,,24.26815414428711,36.92372479991121
14,abacate,-48.6329692,-22.7999905,2020-10-07,2020-10-27,0.4948,0.2737,1.1191060543060303,19.056781768798828,16.686904907226562,36.79662683385811
15,abacate,-48.6329692,-22.7999905,2020-10-27,2020-11-16,0.4889,0.3015,1.3495110273361206,,15.5744047164917,38.874199657513145
16,abacate,-48.6329692,-22.7999905,2020-11-16,2020-12-06,0.5271,0.3637,1.5952173471450806,,17.01815414428711,37.76940233448465
17,abacate,-48.6329692,-22.7999905,2020-12-06,2020-12-26,0.6069,0.4545,1.929811716079712,,17.78690528869629,34.12966229731046
18,abacate,-48.6329692,-22.7999905,2020-12-26,2021-01-15,0.656,0.5122,2.218471050262451,,22.905654907226562,30.761409457228865
19,abacate,-48.6329692,-22.7999905,2021-01-15,2021-02-04,0.7473,0.5134,2.447364330291748,,27.05716896057129,29.98079240702981
20,abacate,-48.6329692,-22.7999905,2021-02-04,2021-02-24,0.7591,0.4931,2.491767406463623,,13.124404907226562,30.469954364501405
