,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,citrus,-48.4646525,-23.2133859,2020-01-01,2020-01-21,0.812,0.547,2.225831985473633,39.433929443359375,45.750186920166016,32.63309475514336
1,citrus,-48.4646525,-23.2133859,2020-01-21,2020-02-10,0.814,0.5525,2.3801586627960205,43.09148406982422,38.59266662597656,30.10380334202648
2,citrus,-48.4646525,-23.2133859,2020-02-10,2020-03-01,0.6222,0.4611,2.419546365737915,,70.99198150634766,27.513788756882093
3,citrus,-48.4646525,-23.2133859,2020-03-01,2020-03-21,0.8242,0.5219,2.3718457221984863,,66.37997436523438,26.489589193767586
4,citrus,-48.4646525,-23.2133859,2020-03-21,2020-04-10,0.814,0.4803,2.2798819541931152,,47.49935531616211,25.036847980571565
5,citrus,-48.4646525,-23.2133859,2020-04-10,2020-04-30,0.7899,0.446,2.129243850708008,,30.151748657226562,24.160393015827026
6,citrus,-48.4646525,-23.2133859,2020-04-30,2020-05-20,0.7899,0.4779,1.933013677597046,,17.293155670166016,22.652958606640084
7,citrus,-48.4646525,-23.2133859,2020-05-20,2020-06-09,0.7901,0.436,1.70624840259552,,13.099405288696289,20.527409973393674
8,citrus,-48.4646525,-23.2133859,2020-06-09,2020-06-29,0.7722,0.3955,1.511730432510376,,15.1437406539917,23.20185535222049
9,citrus,-48.4646525,-23.2133859,2020-06-29,2020-07-19,0.7891,0.4067,1.387465476989746,,47.769718170166016,21.2775223518874
10,citrus,-48.4646525,-23.2133859,2020-07-19,2020-08-08,0.7578,0.4541,1.284185528755188,,35.580509185791016,22.20315251049709
11,citrus,-48.4646525,-23.2133859,2020-08-08,2020-08-28,0.7478,0.3931,1.2423535585403442,,41.23461151123047,21.500141263401872
12,citrus,-48.4646525,-23.2133859,2020-08-28,2020-09-17,0.7353,0.4112,1.2542691230773926,,48.675086975097656,27.683830138724318
13,citrus,-48.4646525,-23.2133859,2020-09-17,2020-10-07,0.7531,0.44,1.3773421049118042,6.832738399505615,20.855655670166016,30.777204345929363
14,citrus,-48.4646525,-23.2133859,2020-10-07,2020-10-27,0.7418,0.4229,1.6096761226654053,22.53133773803711,19.11190414428711,28.041866381035163
15,citrus,-48.4646525,-23.2133859,2020-10-27,2020-11-16,0.7729,0.4262,1.8887748718261719,10.969993591308594,13.286905288696289,30.62758434408255
16,citrus,-48.4646525,-23.2133859,2020-11-16,2020-12-06,0.7647,0.5384,2.0201258659362793,,13.536905288696289,30.3884236683179
17,citrus,-48.4646525,-23.2133859,2020-12-06,2020-12-26,0.7946,0.6098,2.174318552017212,,11.405654907226562,30.266929006085206
18,citrus,-48.4646525,-23.2133859,2020-12-26,2021-01-15,0.7911,0.6033,2.201326370239258,,17.29940414428711,27.35090698348307
19,citrus,-48.4646525,-23.2133859,2021-01-15,2021-02-04,0.8214,0.5216,2.3441660404205322,26.08574867248535,20.81815528869629,27.936583116005067
20,citrus,-48.4646525,-23.2133859,2021-02-04,2021-02-24,0.8105,0.5622,2.4153454303741455,11.307915687561035,12.299405097961426,26.851110076214354
21,citrus,-48.4646525,-23.2133859,2021-02-24,2021-03-16,0.8317,0.5565,2.39270281791687,,10.618154525756836,26.852010700832068
22,citrus,-48.4646525,-23.2133859,2021-03-16,2021-04-05,0.8245,0.5099,2.3011510372161865,,7.886904716491699,26.126643633580727
23,citrus,-48.4646525,-23.2133859,2021-04-05,2021-04-25,0.8091,0.501,2.179544448852539,,6.7995452880859375,25.256517814022175
24,citrus,-48.4646525,-23.2133859,2021-04-25,2021-05-15,0.8195,0.4487,1.9801878929138184,,7.099404811859131,22.028577583786557
25,citrus,-48.4646525,-23.2133859,2021-05-15,2021-06-04,0.781,0.4633,1.7667495012283325,,5.405962944030762,22.07701025237668
26,citrus,-48.4646525,-23.2133859,2021-06-04,2021-06-24,0.8043,0.4818,1.5491999387741089,,7.2496185302734375,19.973115618661268
