Unnamed: 0,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
14,café,-48.0636492,-22.8308688,2020-10-07,2020-10-27,0.5562,0.3044,1.3185350789743313,12.309515083537384,10.65069148119758,34.78773068644813
15,café,-48.0636492,-22.8308688,2020-10-27,2020-11-16,0.603,0.43,1.5624458439209885,8.951226879568662,5.519914991715375,34.83784066272483
16,café,-48.0636492,-22.8308688,2020-11-16,2020-12-06,0.6758,0.5258,1.7694428142379313,23.846662521362305,12.744809290942024,33.32057693052218
17,café,-48.0636492,-22.8308688,2020-12-06,2020-12-26,0.7353,0.5956,2.0358823818318985,15.45289182662964,8.274630630717558,31.601869531552552
18,café,-48.0636492,-22.8308688,2020-12-26,2021-01-15,0.7497,0.6307,2.226557963034686,17.627862705903894,9.84741309109856,29.04849386787248
19,café,-48.0636492,-22.8308688,2021-01-15,2021-02-04,0.7889,0.5613,2.4060469585306503,22.03721607432646,18.184699170729694,27.318042973286992
20,café,-48.0636492,-22.8308688,2021-02-04,2021-02-24,0.7569,0.5497,2.470197670599993,6.85468004731571,7.198792499654434,28.978540069686403
21,café,-48.0636492,-22.8308688,2021-02-24,2021-03-16,0.7773,0.5213,2.435250436558443,1.5,4.498201987322639,28.20386756062373
22,café,-48.0636492,-22.8308688,2021-03-16,2021-04-05,0.7808,0.5309,2.3175114743849807,,2.7306212677675137,28.457587460739035
23,café,-48.0636492,-22.8308688,2021-04-05,2021-04-25,0.7083,0.4789,2.094554536482867,,0.4224244299180367,26.28863475639088
24,café,-48.0636492,-22.8308688,2021-04-25,2021-05-15,0.618,0.3983,1.810829453608569,0.0,0.0,24.568230900287062
25,café,-48.0636492,-22.8308688,2021-05-15,2021-06-04,0.6331,0.3998,1.5463013333432816,2.5415216824587654,0.0,21.385180815957938
26,café,-48.0636492,-22.8308688,2021-06-04,2021-06-24,0.6419,0.4208,1.2969300501486831,2.5310579888960896,0.1331801488995552,21.695234030197525
27,café,-48.0636492,-22.8308688,2021-06-24,2021-07-14,0.5047,0.2985,1.130981897606569,0.674604207277298,0.0,21.201755484933244
28,café,-48.0636492,-22.8308688,2021-07-14,2021-08-03,0.414,0.2447,1.0095562759567709,3.661228551584132,0.309374988079071,23.57756140803156
29,café,-48.0636492,-22.8308688,2021-08-03,2021-08-23,0.3655,0.2259,0.9640628713018756,3.4092729091644287,0.572150716010262,28.692054366462173
30,café,-48.0636492,-22.8308688,2021-08-23,2021-09-12,0.4186,0.2498,0.9862573252004736,4.715367317199707,0.592279001193888,31.39882062314382
31,café,-48.0636492,-22.8308688,2021-09-12,2021-10-02,0.4809,0.2943,1.0719877446399015,1.0035196542739868,0.6874080826254452,33.43997185267318
