,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,café,-48.199386,-22.8119643,2020-01-01,2020-01-21,0.7856,0.5209,2.15182535307748,35.05555103846958,30.541735185895643,30.077074968480247
1,café,-48.199386,-22.8119643,2020-01-21,2020-02-10,0.7797,0.661,2.3061679295131134,27.159977885654992,24.58604300362723,31.07188481095085
2,café,-48.199386,-22.8119643,2020-02-10,2020-03-01,0.7642,0.5665,2.335073818479265,83.37386736188616,59.23513859340123,26.831783532150155
3,café,-48.199386,-22.8119643,2020-03-01,2020-03-21,0.7785,0.5328,2.2974594048091337,,49.31153237479073,29.52338491592775
4,café,-48.199386,-22.8119643,2020-03-21,2020-04-10,0.7684,0.5263,2.181831230436052,,30.12429471697126,27.558295685984092
5,café,-48.199386,-22.8119643,2020-04-10,2020-04-30,0.7335,0.4716,1.9577211175646099,,20.236369214739117,27.154498972078272
6,café,-48.199386,-22.8119643,2020-04-30,2020-05-20,0.6849,0.4231,1.6975337198802398,,17.68869138445173,26.154169818640298
7,café,-48.199386,-22.8119643,2020-05-20,2020-06-09,0.6668,0.4091,1.444375089236668,16.826464898245675,17.430297442844935,23.37994339672548
8,café,-48.199386,-22.8119643,2020-06-09,2020-06-29,0.6731,0.3885,1.2435238599777219,22.61244076320103,20.541012191772456,24.443899196526502
9,café,-48.199386,-22.8119643,2020-06-29,2020-07-19,0.669,0.3963,1.1000266858509609,32.19167600359235,26.50101154872349,22.7716374216414
10,café,-48.199386,-22.8119643,2020-07-19,2020-08-08,0.6513,0.3926,1.008249705178397,21.53471134730748,22.12940488542829,25.259402351571964
11,café,-48.199386,-22.8119643,2020-08-08,2020-08-28,0.6023,0.3698,0.9772744144712173,19.427976608276367,26.66805904933384,26.179572624705088
12,café,-48.199386,-22.8119643,2020-08-28,2020-09-17,0.5773,0.3464,0.990556628363473,29.53089141845703,27.900882938929964,30.9897761195449
13,café,-48.199386,-22.8119643,2020-09-17,2020-10-07,0.5373,0.3303,1.0825567756380352,10.876819678715297,15.618155097961424,34.8114970419939
14,café,-48.199386,-22.8119643,2020-10-07,2020-10-27,0.5625,0.3164,1.264152250971113,11.596368871416363,10.778869002205983,35.02483679011317
15,café,-48.199386,-22.8119643,2020-10-27,2020-11-16,0.5785,0.3991,1.493806515421186,9.305884606497628,6.202099895477294,35.200925489988606
16,café,-48.199386,-22.8119643,2020-11-16,2020-12-06,0.6509,0.4892,1.6906401225498742,,12.931368991306849,32.814273229825176
17,café,-48.199386,-22.8119643,2020-12-06,2020-12-26,0.7113,0.5658,1.9118245942252021,18.377898597717287,9.664598955426897,32.46470933954032
18,café,-48.199386,-22.8119643,2020-12-26,2021-01-15,0.6659,0.5443,2.0854010445731026,17.44638590131487,10.61476786477225,31.524835903404096
19,café,-48.199386,-22.8119643,2021-01-15,2021-02-04,0.7641,0.5772,2.2765089988708493,21.213208552769252,17.066190883091515,31.486052953156843
20,café,-48.199386,-22.8119643,2021-02-04,2021-02-24,0.7384,0.56,2.333120339257376,7.185336698804583,6.726871408735002,30.42118181479077
21,café,-48.199386,-22.8119643,2021-02-24,2021-03-16,0.7647,0.5029,2.3140890734536304,,4.553882462637764,30.675338542749103
22,café,-48.199386,-22.8119643,2021-03-16,2021-04-05,0.733,0.5072,2.2204179627554756,,2.909585448673793,30.324077747972126
23,café,-48.199386,-22.8119643,2021-04-05,2021-04-25,0.6761,0.4486,2.020587165015084,,0.5091061132294791,29.92798453801072
24,café,-48.199386,-22.8119643,2021-04-25,2021-05-15,0.6148,0.3638,1.7616079194205148,,0.0,26.837805305014115
25,café,-48.199386,-22.8119643,2021-05-15,2021-06-04,0.6412,0.3792,1.506145633969988,3.0404101439884728,0.0,24.500575841334523
26,café,-48.199386,-22.8119643,2021-06-04,2021-06-24,0.6593,0.3956,1.2879528386252266,3.136611018862043,0.35062499684946874,22.720474250800123
27,café,-48.199386,-22.8119643,2021-06-24,2021-07-14,0.5855,0.3488,1.1299828086580548,1.4845779844692772,0.0,22.396687853897618
28,café,-48.199386,-22.8119643,2021-07-14,2021-08-03,0.5418,0.3216,1.0262555326734268,3.3948958737509587,0.20651785135269163,25.94092501388627
29,café,-48.199386,-22.8119643,2021-08-03,2021-08-23,0.4924,0.2753,0.9798137307167052,4.925891399383545,0.7537500006811959,28.94711061269254
30,café,-48.199386,-22.8119643,2021-08-23,2021-09-12,0.5279,0.3035,0.9830665281840733,6.5601887702941895,0.647499794619424,31.301602243649143
31,café,-48.199386,-22.8119643,2021-09-12,2021-10-02,0.525,0.2976,1.048483177593776,0.7209166288375854,0.680357119015285,33.66255996684919
32,café,-48.199386,-22.8119643,2021-10-02,2021-10-22,0.6558,0.3848,1.2158633674894057,10.852953774588448,2.211043575831822,32.997876830569226
33,café,-48.199386,-22.8119643,2021-10-22,2021-11-11,0.6669,0.4205,1.4293608256748742,31.0465221949986,17.29213420322963,31.99025265750322
34,café,-48.199386,-22.8119643,2021-11-11,2021-12-01,0.6787,0.4481,1.6456528663635253,,13.358787073407855,33.09025409756566
35,café,-48.199386,-22.8119643,2021-12-01,2021-12-21,0.6991,0.5109,1.868118688038417,46.77840434483119,13.390250069754464,31.356741898388577
36,café,-48.199386,-22.8119643,2021-12-21,2022-01-10,0.7502,0.521,2.0309179578508645,19.416622488839284,12.626726477486745,31.9319948182939
37,café,-48.199386,-22.8119643,2022-01-10,2022-01-30,0.7514,0.4927,2.239384910038539,23.121811458042686,17.920118931361603,30.328056860218624
38,café,-48.199386,-22.8119643,2022-01-30,2022-02-19,0.7143,0.5254,2.326699461255754,64.43310862949916,49.23714545113699,29.28440264442503
39,café,-48.199386,-22.8119643,2022-02-19,2022-03-11,0.6291,0.4614,2.3267951556614466,21.332738876342773,17.18619074140276,31.838414325095584
40,café,-48.199386,-22.8119643,2022-03-11,2022-03-31,0.707,0.4918,2.249945899418422,,16.380476597377232,28.829660584396663
41,café,-48.199386,-22.8119643,2022-03-31,2022-04-20,0.7426,0.4721,2.0816263471330916,,13.327440561567034,26.92499079241651
42,café,-48.199386,-22.8119643,2022-04-20,2022-05-10,0.6681,0.4309,1.8258487939834593,,11.158333478655134,27.55228497842961
43,café,-48.199386,-22.8119643,2022-05-10,2022-05-30,0.593,0.3806,1.5710479463849747,6.225400733947753,8.518512180873325,23.19143093425822
44,café,-48.199386,-22.8119643,2022-05-30,2022-06-19,0.6376,0.3864,1.3357062544141496,20.09183049883161,17.361547524588445,20.99684611441313
45,café,-48.199386,-22.8119643,2022-06-19,2022-07-09,0.6231,0.3714,1.1639537572860716,20.289138303484236,18.991011646815707,23.73966993960363
46,café,-48.199386,-22.8119643,2022-07-09,2022-07-29,0.5473,0.3205,1.0478224073137554,15.075297573634558,16.026726477486747,23.982363631228623
47,café,-48.199386,-22.8119643,2022-07-29,2022-08-18,0.5224,0.3024,0.9856491412435259,11.717933845520019,12.627440561567033,24.41382883975041
48,café,-48.199386,-22.8119643,2022-08-18,2022-09-07,0.4872,0.2833,0.9788906693458556,9.10546588897705,10.471369062151226,29.608973668897306
49,café,-48.199386,-22.8119643,2022-09-07,2022-09-27,0.5009,0.3007,1.0219853605542863,18.41261863708496,10.647618811471121,29.36753403669678
50,café,-48.199386,-22.8119643,2022-09-27,2022-10-17,0.5826,0.3789,1.168951507977077,49.817540196010036,31.350147138323102,27.858049655707475
51,café,-48.199386,-22.8119643,2022-10-17,2022-11-06,0.6461,0.5206,1.3686213936124525,36.80599343436105,35.503991154261996,30.226261031907654
52,café,-48.199386,-22.8119643,2022-11-06,2022-11-26,0.6501,0.4835,1.6009361607687813,,20.94381920950753,31.24761770137536
53,café,-48.199386,-22.8119643,2022-11-26,2022-12-16,0.7263,0.4596,1.8106471334184917,39.220614842006135,21.043374688284736,31.821628496612448
54,café,-48.199386,-22.8119643,2022-12-16,2023-01-05,0.6848,0.5127,1.9866493156978062,31.173300715855184,24.483115441458562,30.47625332169531
55,café,-48.199386,-22.8119643,2023-01-05,2023-01-25,0.7421,0.5418,2.1933075564248217,59.88617619105747,54.129233442034035,26.444771410173928
56,café,-48.199386,-22.8119643,2023-01-25,2023-02-14,0.7363,0.5827,2.317708029065813,55.97223794119698,52.084889875139496,27.822746775288522
57,café,-48.199386,-22.8119643,2023-02-14,2023-03-06,0.7778,0.5282,2.3330582346235005,83.11755632672991,66.30469796316964,27.617556008146607
58,café,-48.199386,-22.8119643,2023-03-06,2023-03-26,0.7895,0.5574,2.276110478809901,,70.3005102975028,26.94741913167161
59,café,-48.199386,-22.8119643,2023-03-26,2023-04-15,0.7851,0.5331,2.134987980978829,,60.315333557128895,26.498623365772005
60,café,-48.199386,-22.8119643,2023-04-15,2023-05-05,0.7612,0.5548,1.892559344427926,,79.09141431535993,24.522242627026685
61,café,-48.199386,-22.8119643,2023-05-05,2023-05-25,0.7417,0.4891,1.6345404522759572,45.19460852486746,65.76589835030691,22.060997871685117
62,café,-48.199386,-22.8119643,2023-05-25,2023-06-14,0.7084,0.4483,1.3876082897186277,53.124370138985775,54.29900207519531,22.440893749834743
63,café,-48.199386,-22.8119643,2023-06-14,2023-07-04,0.6593,0.3986,1.2018665177481513,74.20104021344865,72.22472599574498,20.515616173178046
64,café,-48.199386,-22.8119643,2023-07-04,2023-07-24,0.653,0.4134,1.0726973363331385,60.04891738891601,64.46808994838169,20.035311398829776
65,café,-48.199386,-22.8119643,2023-07-24,2023-08-13,0.6346,0.3969,0.9949034946305411,53.26779370989117,54.07489493233816,24.00273268234372
66,café,-48.199386,-22.8119643,2023-08-13,2023-09-02,0.6123,0.3794,0.9769922256469726,57.00721740722656,47.43578730991908,26.640959751721425
67,café,-48.199386,-22.8119643,2023-09-02,2023-09-22,0.6236,0.3524,1.0031343664441787,40.32959747314453,44.263465881347656,30.63332182458862
68,café,-48.199386,-22.8119643,2023-09-22,2023-10-12,0.6766,0.4101,1.1235626118523734,56.343066188267294,40.57676783970423,30.551155400381447
69,café,-48.199386,-22.8119643,2023-10-12,2023-11-01,0.723,0.4512,1.3143040997641426,67.73419952392578,69.05009591238839,27.268935117835383
70,café,-48.199386,-22.8119643,2023-11-01,2023-11-21,0.742,0.5334,1.5509107794080461,,57.221101379394526,31.730110949471396
71,café,-48.199386,-22.8119643,2023-11-21,2023-12-11,0.7433,0.5609,1.7465874092919482,21.499404907226562,45.2227308000837,30.270184303864085
72,café,-48.199386,-22.8119643,2023-12-11,2023-12-31,0.7228,0.5271,1.950420420510428,6.161546189444405,13.328661128452845,31.121553904344125
73,café,-48.199386,-22.8119643,2023-12-31,2024-01-20,0.7102,0.4991,2.140837710244315,0.9372105530330112,0.08999999591282436,30.95341850274633
74,café,-48.199386,-22.8119643,2024-01-20,2024-02-09,0.7579,0.4778,2.30247586114066,11.861438233511787,2.4310362270900177,27.123899039860305
75,café,-48.199386,-22.8119643,2024-02-09,2024-02-29,0.8108,0.5054,2.3350561891283306,5.57730176108224,4.166163785117013,29.24060934923864
76,café,-48.199386,-22.8119643,2024-02-29,2024-03-20,0.7836,0.5657,2.3011380468096054,,4.770542594364711,28.919933138903957
