,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,eucalipto,-48.51924,-22.4962489,2020-01-01,2020-01-21,0.6783,0.4471,2.374338914366329,32.938266080968525,26.08989996068618,31.91995342066963
1,eucalipto,-48.51924,-22.4962489,2020-01-21,2020-02-10,0.7234,0.4404,2.9048210733077107,32.13484236773323,23.478609309476962,31.82389744922716
2,eucalipto,-48.51924,-22.4962489,2020-02-10,2020-03-01,0.7347,0.5472,3.170333308332107,87.12843322753906,47.568785050336054,28.35926414361967
3,eucalipto,-48.51924,-22.4962489,2020-03-01,2020-03-21,0.7388,0.5191,3.1970301936654484,,41.230933245490576,29.48077761248942
4,eucalipto,-48.51924,-22.4962489,2020-03-21,2020-04-10,0.7124,0.4841,3.0435592146480785,,20.07146386539235,28.092735213355354
5,eucalipto,-48.51924,-22.4962489,2020-04-10,2020-04-30,0.6734,0.4165,2.648834186441758,,14.256758128895479,26.15021767702717
6,eucalipto,-48.51924,-22.4962489,2020-04-30,2020-05-20,0.6231,0.3695,2.2078164710718045,12.721627235412598,12.678448677062988,26.035587402408453
7,eucalipto,-48.51924,-22.4962489,2020-05-20,2020-06-09,0.5969,0.3552,1.8055044342489805,17.324405670166016,13.485433971180635,22.313858621145926
8,eucalipto,-48.51924,-22.4962489,2020-06-09,2020-06-29,0.5745,0.3201,1.4707107438760645,21.018056869506836,14.829919366275563,25.203635053932032
9,eucalipto,-48.51924,-22.4962489,2020-06-29,2020-07-19,0.5544,0.2932,1.2225050996331606,37.0433464050293,30.577346016378964,22.351887556984536
10,eucalipto,-48.51924,-22.4962489,2020-07-19,2020-08-08,0.5363,0.2888,1.0216484806116888,27.94410032384536,29.89719895755543,25.364937269823656
11,eucalipto,-48.51924,-22.4962489,2020-08-08,2020-08-28,0.4967,0.2552,0.9005060756907743,41.220497131347656,32.09084387386546,25.47037992736699
12,eucalipto,-48.51924,-22.4962489,2020-08-28,2020-09-17,0.4784,0.2531,0.823656397707322,28.653592951157513,31.990293390610642,31.621000047568884
13,eucalipto,-48.51924,-22.4962489,2020-09-17,2020-10-07,0.4378,0.2453,0.799988469656776,17.21141467374914,21.983595904181986,35.8397355599277
14,eucalipto,-48.51924,-22.4962489,2020-10-07,2020-10-27,0.4631,0.2357,0.8440902969416451,15.439845702227423,14.444258128895479,34.188616241012824
15,eucalipto,-48.51924,-22.4962489,2020-10-27,2020-11-16,0.4378,0.274,1.0007711298325481,11.798493441413429,10.932125372045181,36.197423364764006
16,eucalipto,-48.51924,-22.4962489,2020-11-16,2020-12-06,0.4823,0.3181,1.225462531342226,24.080376793356503,14.507860408109778,37.59588249578343
17,eucalipto,-48.51924,-22.4962489,2020-12-06,2020-12-26,0.5445,0.3966,1.6616975875461801,30.94676971435547,17.48874237958123,34.463619893255725
18,eucalipto,-48.51924,-22.4962489,2020-12-26,2021-01-15,0.5767,0.4356,2.1805118672987995,24.193845300113452,19.993522419649015,33.259924932418414
19,eucalipto,-48.51924,-22.4962489,2021-01-15,2021-02-04,0.6271,0.4422,2.7856622233110313,25.47845470204073,23.212513643152572,32.405627074235724
